target,category,ref_file_count,false_positive,referencing_files
CustomerName,C1 Template placeholder leaked,3,no,Portfolio Brain/_skills/competitive-intel.md; Portfolio Brain/_skills/enrichment.md; Portfolio Brain/_skills/renewal-countdown.md
Framework Name,C1 Template placeholder leaked,2,no,Portfolio Brain/_skills/debrief.md; Portfolio Brain/_skills/triage.md
Non-HVO,C1 Template placeholder leaked,2,no,Portfolio Brain/Playbooks/Test Customer 1/_intelligence_summary.md; Portfolio Brain/Playbooks/Test Customer 2/_intelligence_summary.md
...,C1 Template placeholder leaked,1,no,Portfolio Brain/_skills/lint.md
Customer,C1 Template placeholder leaked,1,no,Portfolio Brain/_skills/commitment-extraction.md
Customer A,C1 Template placeholder leaked,1,no,Portfolio Brain/_skills/commitment-extraction.md
CustomerName1,C1 Template placeholder leaked,1,no,Portfolio Brain/_analytics/schemas.md
CustomerName2,C1 Template placeholder leaked,1,no,Portfolio Brain/_analytics/schemas.md
Entropy/...,C1 Template placeholder leaked,1,no,Portfolio Brain/CHANGELOG.md
filename,C1 Template placeholder leaked,1,no,Portfolio Brain/_skills/lint.md
new playbook,C1 Template placeholder leaked,1,no,Portfolio Brain/_skills/playbook.md
Platinum,C1 Template placeholder leaked,1,no,Portfolio Brain/Playbooks/Test Customer 2/_intelligence_summary.md
Portfolio Brain/...,C1 Template placeholder leaked,1,no,Portfolio Brain/CHANGELOG.md
Related Node 1,C1 Template placeholder leaked,1,no,Portfolio Brain/_analytics/schemas.md
Related Node 2,C1 Template placeholder leaked,1,no,Portfolio Brain/_analytics/schemas.md
Standard,C1 Template placeholder leaked,1,no,Portfolio Brain/Playbooks/Test Customer 1/_intelligence_summary.md
Target,C1 Template placeholder leaked,1,no,Portfolio Brain/_skills/lint.md
YYYY-MM-DD_Meeting_Title,C1 Template placeholder leaked,1,no,Portfolio Brain/_skills/commitment-extraction.md
YYYY-MM-DD_Renewal_Playbook,C1 Template placeholder leaked,1,no,Portfolio Brain/_skills/playbook.md
AI-Federation-Architecture-Framework,C3 Missing core/spine note,36,no,David Proctor's Second Brain/Books/Pillars of the Earth.md; David Proctor's Second Brain/Books/The Art of War.md; David Proctor's Second Brain/Books/World Without End.md; David Proctor's Second Brain/Concepts/AI-Agent-Isolation.md; David Proctor's Second Brain/Concepts/Cryptographic-Identity-for-AI-Agents.md; David Proctor's Second Brain/Concepts/Directional-Trust.md; David Proctor's Second Brain/Concepts/Doorman-Pattern.md; David Proctor's Second Brain/Concepts/Federated-AI-Networks.md; David Proctor's Second Brain/Concepts/Human-in-the-Loop-Trust.md; David Proctor's Second Brain/Concepts/INTJ-Decision-Style.md; David Proctor's Second Brain/Concepts/Intent-Based-Messaging.md; David Proctor's Second Brain/Concepts/Multi-Agent-Orchestration.md; David Proctor's Second Brain/Concepts/Pattern-Recognition-Decision-Making.md; David Proctor's Second Brain/Concepts/Sun-Tzu-Strategy-Principles.md; David Proctor's Second Brain/Concepts/TOGAF-Enterprise-Architecture.md; David Proctor's Second Brain/Concepts/Vendor-Lock-In-Risk.md; David Proctor's Second Brain/Concepts/Well-Known-Endpoint-Discovery.md; David Proctor's Second Brain/Frameworks/Archimate.md; David Proctor's Second Brain/Frameworks/TOGAF.md; David Proctor's Second Brain/MOCs/AI-Agent-Federation-MOC.md; David Proctor's Second Brain/MOCs/OGP-Research-MOC.md; David Proctor's Second Brain/Mental Models/Decentralization vs Centralization Tradeoffs.md; David Proctor's Second Brain/Mental Models/Pattern Recognition.md; David Proctor's Second Brain/Mental Models/Second-Order Thinking.md; David Proctor's Second Brain/People/Moxie-Marlinspike.md; David Proctor's Second Brain/People/Stanislav-Huseletov.md; David Proctor's Second Brain/People/Sun-Tzu.md; David Proctor's Second Brain/Principles/Cryptographic Identity Is Non-Negotiable for AI Agents.md; David Proctor's Second Brain/Principles/Demos Persuade More Than Arguments.md; David Proctor's Second Brain/Principles/Facts Before Feelings.md; David Proctor's Second Brain/Principles/Human Approval Is a Safety Primitive Not Friction.md; David Proctor's Second Brain/Principles/Open Protocols Beat Closed Platforms.md; David Proctor's Second Brain/Principles/Pattern Recognition Across Domains Is the Primary Cognitive Shortcut.md; David Proctor's Second Brain/Quotes/Moxie-Marlinspike-Quotes.md; David Proctor's Second Brain/Quotes/Pillars-of-the-Earth-Quotes.md; David Proctor's Second Brain/Quotes/The-Art-of-War-Quotes.md
